Date : 2024-01-11 19:15:29
Directory : c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app
Total : 152 files,  12805 codes, 3 comments, 579 blanks, all 13387 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          3 |      9,231 |          0 |          3 |      9,234 |
| TypeScript JSX     |         87 |      2,482 |          0 |        349 |      2,831 |
| TypeScript         |         55 |        995 |          1 |        204 |      1,200 |
| JSON with Comments |          2 |         30 |          0 |          2 |         32 |
| Markdown           |          1 |         23 |          0 |         14 |         37 |
| CSS                |          1 |         23 |          1 |          4 |         28 |
| JavaScript         |          3 |         21 |          1 |          3 |         25 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                  | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                     |        152 |     12,805 |          3 |        579 |     13,387 |
| . (Files)                                                                                                                                                                             |         10 |      9,331 |          2 |         24 |      9,357 |
| app                                                                                                                                                                                   |         14 |        344 |          1 |         50 |        395 |
| app (Files)                                                                                                                                                                           |          4 |        116 |          1 |         14 |        131 |
| app\account                                                                                                                                                                           |          1 |         25 |          0 |          4 |         29 |
| app\actor                                                                                                                                                                             |          1 |         36 |          0 |          6 |         42 |
| app\actor\[actorId]                                                                                                                                                                   |          1 |         36 |          0 |          6 |         42 |
| app\auth                                                                                                                                                                              |          1 |         41 |          0 |          5 |         46 |
| app\auth\callback                                                                                                                                                                     |          1 |         41 |          0 |          5 |         46 |
| app\list                                                                                                                                                                              |          1 |         14 |          0 |          3 |         17 |
| app\list\[listId]                                                                                                                                                                     |          1 |         14 |          0 |          3 |         17 |
| app\login                                                                                                                                                                             |          1 |         18 |          0 |          2 |         20 |
| app\movie                                                                                                                                                                             |          1 |         22 |          0 |          3 |         25 |
| app\movie\[movieId]                                                                                                                                                                   |          1 |         22 |          0 |          3 |         25 |
| app\movies                                                                                                                                                                            |          1 |         10 |          0 |          2 |         12 |
| app\myLists                                                                                                                                                                           |          1 |         24 |          0 |          4 |         28 |
| app\myReviews                                                                                                                                                                         |          1 |         24 |          0 |          4 |         28 |
| app\unauthenticated                                                                                                                                                                   |          1 |         14 |          0 |          3 |         17 |
| modules                                                                                                                                                                               |        127 |      3,124 |          0 |        504 |      3,628 |
| modules\Footer                                                                                                                                                                        |          1 |         30 |          0 |          2 |         32 |
| modules\Header                                                                                                                                                                        |          1 |         29 |          0 |          3 |         32 |
| modules\HomepageBanner                                                                                                                                                                |          1 |         35 |          0 |          2 |         37 |
| modules\Navbar                                                                                                                                                                        |          1 |         48 |          0 |         11 |         59 |
| modules\Search                                                                                                                                                                        |          4 |         71 |          0 |         15 |         86 |
| modules\Search\SearchResultsPage                                                                                                                                                      |          3 |         42 |          0 |         11 |         53 |
| modules\Search\SearchResultsPage (Files)                                                                                                                                              |          1 |         26 |          0 |          7 |         33 |
| modules\Search\SearchResultsPage\SearchResultsPageEmptyQuery                                                                                                                          |          1 |          8 |          0 |          2 |         10 |
| modules\Search\SearchResultsPage\SearchResultsPageSkeleton                                                                                                                            |          1 |          8 |          0 |          2 |         10 |
| modules\Search\Searchbar                                                                                                                                                              |          1 |         29 |          0 |          4 |         33 |
| modules\TopMovies                                                                                                                                                                     |          5 |         94 |          0 |         16 |        110 |
| modules\TopMovies\TopMoviesHomepage                                                                                                                                                   |          5 |         94 |          0 |         16 |        110 |
| modules\TopMovies\TopMoviesHomepage (Files)                                                                                                                                           |          1 |         31 |          0 |          4 |         35 |
| modules\TopMovies\TopMoviesHomepage\PosterLinkList                                                                                                                                    |          4 |         63 |          0 |         12 |         75 |
| modules\TopMovies\TopMoviesHomepage\PosterLinkList (Files)                                                                                                                            |          1 |         20 |          0 |          4 |         24 |
| modules\TopMovies\TopMoviesHomepage\PosterLinkList\PosterLink                                                                                                                         |          1 |         26 |          0 |          4 |         30 |
| modules\TopMovies\TopMoviesHomepage\PosterLinkList\PosterLinkListSkeleton                                                                                                             |          2 |         17 |          0 |          4 |         21 |
| modules\TopMovies\TopMoviesHomepage\PosterLinkList\PosterLinkListSkeleton (Files)                                                                                                     |          1 |         13 |          0 |          2 |         15 |
| modules\TopMovies\TopMoviesHomepage\PosterLinkList\PosterLinkListSkeleton\PosterLinkSkeleton                                                                                          |          1 |          4 |          0 |          2 |          6 |
| modules\accountPage                                                                                                                                                                   |          5 |        185 |          0 |         22 |        207 |
| modules\accountPage\Dashboard                                                                                                                                                         |          5 |        185 |          0 |         22 |        207 |
| modules\accountPage\Dashboard (Files)                                                                                                                                                 |          1 |         35 |          0 |          4 |         39 |
| modules\accountPage\Dashboard\MyLists                                                                                                                                                 |          2 |         85 |          0 |          9 |         94 |
| modules\accountPage\Dashboard\MyLists (Files)                                                                                                                                         |          1 |         75 |          0 |          7 |         82 |
| modules\accountPage\Dashboard\MyLists\MyListsSkeleton                                                                                                                                 |          1 |         10 |          0 |          2 |         12 |
| modules\accountPage\Dashboard\MyReviews                                                                                                                                               |          2 |         65 |          0 |          9 |         74 |
| modules\accountPage\Dashboard\MyReviews (Files)                                                                                                                                       |          1 |         55 |          0 |          7 |         62 |
| modules\accountPage\Dashboard\MyReviews\MyReviewsSkeleton                                                                                                                             |          1 |         10 |          0 |          2 |         12 |
| modules\actorPage                                                                                                                                                                     |          8 |        160 |          0 |         22 |        182 |
| modules\actorPage\ActorImage                                                                                                                                                          |          1 |         18 |          0 |          3 |         21 |
| modules\actorPage\ActorKnownFor                                                                                                                                                       |          2 |         63 |          0 |          7 |         70 |
| modules\actorPage\ActorKnownFor (Files)                                                                                                                                               |          1 |         35 |          0 |          3 |         38 |
| modules\actorPage\ActorKnownFor\KnownForSingleMovie                                                                                                                                   |          1 |         28 |          0 |          4 |         32 |
| modules\actorPage\ActorMainInfo                                                                                                                                                       |          2 |         50 |          0 |          6 |         56 |
| modules\actorPage\ActorMainInfo (Files)                                                                                                                                               |          1 |         36 |          0 |          3 |         39 |
| modules\actorPage\ActorMainInfo\ActorDatesBox                                                                                                                                         |          1 |         14 |          0 |          3 |         17 |
| modules\actorPage\ActorPageSkeleton                                                                                                                                                   |          3 |         29 |          0 |          6 |         35 |
| modules\actorPage\ActorPageSkeleton (Files)                                                                                                                                           |          1 |         12 |          0 |          2 |         14 |
| modules\actorPage\ActorPageSkeleton\ActorImageSkeleton                                                                                                                                |          1 |          8 |          0 |          2 |         10 |
| modules\actorPage\ActorPageSkeleton\ActorInfoSkeleton                                                                                                                                 |          1 |          9 |          0 |          2 |         11 |
| modules\actors                                                                                                                                                                        |          3 |         53 |          0 |          9 |         62 |
| modules\actors\schemas                                                                                                                                                                |          1 |         31 |          0 |          3 |         34 |
| modules\actors\useGetActorById                                                                                                                                                        |          2 |         22 |          0 |          6 |         28 |
| modules\auth                                                                                                                                                                          |          5 |        211 |          0 |         22 |        233 |
| modules\auth\Forms                                                                                                                                                                    |          4 |        194 |          0 |         19 |        213 |
| modules\auth\Forms\FormRow                                                                                                                                                            |          1 |         18 |          0 |          3 |         21 |
| modules\auth\Forms\LoginForm                                                                                                                                                          |          1 |         55 |          0 |          5 |         60 |
| modules\auth\Forms\RegisterForm                                                                                                                                                       |          2 |        121 |          0 |         11 |        132 |
| modules\auth\LogoutButton                                                                                                                                                             |          1 |         17 |          0 |          3 |         20 |
| modules\listPage                                                                                                                                                                      |          4 |        141 |          0 |         19 |        160 |
| modules\listPage\ListInfo                                                                                                                                                             |          2 |        101 |          0 |         11 |        112 |
| modules\listPage\ListInfo (Files)                                                                                                                                                     |          1 |         81 |          0 |          9 |         90 |
| modules\listPage\ListInfo\ListInfoSkeleton                                                                                                                                            |          1 |         20 |          0 |          2 |         22 |
| modules\listPage\MoviePreview                                                                                                                                                         |          2 |         40 |          0 |          8 |         48 |
| modules\listPage\MoviePreview (Files)                                                                                                                                                 |          1 |         36 |          0 |          6 |         42 |
| modules\listPage\MoviePreview\MoviePreviewSkeleton                                                                                                                                    |          1 |          4 |          0 |          2 |          6 |
| modules\lists                                                                                                                                                                         |         20 |        480 |          0 |         89 |        569 |
| modules\lists\components                                                                                                                                                              |          7 |        231 |          0 |         33 |        264 |
| modules\lists\components\AddToList                                                                                                                                                    |          3 |         65 |          0 |         14 |         79 |
| modules\lists\components\AddToList (Files)                                                                                                                                            |          1 |         25 |          0 |          5 |         30 |
| modules\lists\components\AddToList\SingleListAdd                                                                                                                                      |          2 |         40 |          0 |          9 |         49 |
| modules\lists\components\AddToList\SingleListAdd (Files)                                                                                                                              |          1 |         36 |          0 |          7 |         43 |
| modules\lists\components\AddToList\SingleListAdd\SingleListAddSkeleton                                                                                                                |          1 |          4 |          0 |          2 |          6 |
| modules\lists\components\ListCreator                                                                                                                                                  |          1 |         85 |          0 |          7 |         92 |
| modules\lists\components\ListPreview                                                                                                                                                  |          3 |         81 |          0 |         12 |         93 |
| modules\lists\components\ListPreview (Files)                                                                                                                                          |          1 |         59 |          0 |          5 |         64 |
| modules\lists\components\ListPreview\MoviePreviewSmall                                                                                                                                |          2 |         22 |          0 |          7 |         29 |
| modules\lists\components\ListPreview\MoviePreviewSmall (Files)                                                                                                                        |          1 |         18 |          0 |          5 |         23 |
